Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy
1	Waveform 1	1	704.770343750	704.788218750	1400.000	4000.000	1.0000
1	Spectrogram 1	1	704.770343750	704.788218750	1400.000	4000.000	1.0000
2	Waveform 1	1	1165.748718750	1165.758468750	1400.000	4000.000	1.0000
2	Spectrogram 1	1	1165.748718750	1165.758468750	1400.000	4000.000	1.0000
3	Waveform 1	1	3262.500843750	3262.518718750	1400.000	4000.000	1.0000
3	Spectrogram 1	1	3262.500843750	3262.518718750	1400.000	4000.000	1.0000
4	Waveform 1	1	4385.221468750	4385.244218750	1400.000	4000.000	1.0000
4	Spectrogram 1	1	4385.221468750	4385.244218750	1400.000	4000.000	1.0000
5	Waveform 1	1	5087.219843750	5087.239343750	1400.000	4000.000	1.0000
5	Spectrogram 1	1	5087.219843750	5087.239343750	1400.000	4000.000	1.0000
6	Waveform 1	1	5777.825343750	5777.851343750	1400.000	4000.000	1.0000
6	Spectrogram 1	1	5777.825343750	5777.851343750	1400.000	4000.000	1.0000
7	Waveform 1	1	7126.770343750	7126.789843750	1400.000	4000.000	1.0000
7	Spectrogram 1	1	7126.770343750	7126.789843750	1400.000	4000.000	1.0000
8	Waveform 1	1	7164.710843750	7164.728718750	1400.000	4000.000	1.0000
8	Spectrogram 1	1	7164.710843750	7164.728718750	1400.000	4000.000	1.0000
9	Waveform 1	1	8158.999593750	8159.020718750	1400.000	4000.000	1.0000
9	Spectrogram 1	1	8158.999593750	8159.020718750	1400.000	4000.000	1.0000
10	Waveform 1	1	8159.108468750	8159.121468750	1400.000	4000.000	1.0000
10	Spectrogram 1	1	8159.108468750	8159.121468750	1400.000	4000.000	1.0000
11	Waveform 1	1	10470.230593750	10470.241968750	1400.000	4000.000	1.0000
11	Spectrogram 1	1	10470.230593750	10470.241968750	1400.000	4000.000	1.0000
12	Waveform 1	1	10761.755593750	10761.773468750	1400.000	4000.000	1.0000
12	Spectrogram 1	1	10761.755593750	10761.773468750	1400.000	4000.000	1.0000
13	Waveform 1	1	11067.034593750	11067.049218750	1400.000	4000.000	1.0000
13	Spectrogram 1	1	11067.034593750	11067.049218750	1400.000	4000.000	1.0000
14	Waveform 1	1	11067.151593750	11067.161343750	1400.000	4000.000	1.0000
14	Spectrogram 1	1	11067.151593750	11067.161343750	1400.000	4000.000	1.0000
15	Waveform 1	1	11908.193093750	11908.214218750	1400.000	4000.000	1.0000
15	Spectrogram 1	1	11908.193093750	11908.214218750	1400.000	4000.000	1.0000
16	Waveform 1	1	12420.485718750	12420.505218750	1400.000	4000.000	1.0000
16	Spectrogram 1	1	12420.485718750	12420.505218750	1400.000	4000.000	1.0000
17	Waveform 1	1	14460.860093750	14460.889343750	1400.000	4000.000	1.0000
17	Spectrogram 1	1	14460.860093750	14460.889343750	1400.000	4000.000	1.0000
18	Waveform 1	1	14739.578468750	14739.596343750	1400.000	4000.000	1.0000
18	Spectrogram 1	1	14739.578468750	14739.596343750	1400.000	4000.000	1.0000
19	Waveform 1	1	14739.666218750	14739.687343750	1400.000	4000.000	1.0000
19	Spectrogram 1	1	14739.666218750	14739.687343750	1400.000	4000.000	1.0000
20	Waveform 1	1	15134.783343750	15134.806093750	1400.000	4000.000	1.0000
20	Spectrogram 1	1	15134.783343750	15134.806093750	1400.000	4000.000	1.0000
21	Waveform 1	1	15148.694968750	15148.711218750	1400.000	4000.000	1.0000
21	Spectrogram 1	1	15148.694968750	15148.711218750	1400.000	4000.000	1.0000
22	Waveform 1	1	15156.875218750	15156.886593750	1400.000	4000.000	1.0000
22	Spectrogram 1	1	15156.875218750	15156.886593750	1400.000	4000.000	1.0000
23	Waveform 1	1	15161.584468750	15161.592593750	1400.000	4000.000	1.0000
23	Spectrogram 1	1	15161.584468750	15161.592593750	1400.000	4000.000	1.0000
24	Waveform 1	1	15183.963968750	15183.973718750	1400.000	4000.000	1.0000
24	Spectrogram 1	1	15183.963968750	15183.973718750	1400.000	4000.000	1.0000
25	Waveform 1	1	15250.298093750	15250.306218750	1400.000	4000.000	1.0000
25	Spectrogram 1	1	15250.298093750	15250.306218750	1400.000	4000.000	1.0000
26	Waveform 1	1	15254.046968750	15254.055093750	1400.000	4000.000	1.0000
26	Spectrogram 1	1	15254.046968750	15254.055093750	1400.000	4000.000	1.0000
27	Waveform 1	1	15474.481468750	15474.499343750	1400.000	4000.000	1.0000
27	Spectrogram 1	1	15474.481468750	15474.499343750	1400.000	4000.000	1.0000
28	Waveform 1	1	15559.314593750	15559.332468750	1400.000	4000.000	1.0000
28	Spectrogram 1	1	15559.314593750	15559.332468750	1400.000	4000.000	1.0000
29	Waveform 1	1	16209.397468750	16209.413718750	1400.000	4000.000	1.0000
29	Spectrogram 1	1	16209.397468750	16209.413718750	1400.000	4000.000	1.0000
30	Waveform 1	1	16313.660718750	16313.670468750	1400.000	4000.000	1.0000
30	Spectrogram 1	1	16313.660718750	16313.670468750	1400.000	4000.000	1.0000
