year,month,nptz_lat
1999,10,39.1041793823242
1999,11,37.2708396911621
1999,12,35.3125114440918
2000,1,33.3958396911621
2000,2,32.1458396911621
2000,3,31.9791698455811
2000,4,32.3125114440918
2000,5,33.8541717529297
2000,6,37.1458396911621
2000,7,41.6041793823242
2000,8,43.9375114440918
2000,9,42.1458396911621
2000,10,38.6875114440918
2000,11,37.1458396911621
2000,12,33.7708396911621
2001,1,31.5208396911621
2001,2,31.3958396911621
2001,3,31.6458396911621
2001,4,32.6458396911621
2001,5,34.0208396911621
2007,6,35.75
2007,7,39.9
2007,8,42.475
2007,9,41.825
2007,10,41
2007,11,36.675
2007,12,33.85
2008,1,32.4375114440918
2008,2,31.9
2008,3,31.425
2008,4,31.775
2008,5,33.3125114440918
2008,6,36.5208396911621
2008,7,41.8125114440918
2008,8,43.4791793823242
2008,9,41.0625114440918
2008,10,39.1875114440918
2008,11,37.0208396911621
2008,12,33.4791717529297
2009,1,32.1875114440918
2009,2,30.9375095367432
2009,3,31.5208396911621
2009,4,33.6875114440918
2009,5,32.8541717529297
2009,6,35.8125114440918
2009,7,39.3958396911621
2009,8,41.2708396911621
2009,9,39.8958396911621
2009,10,37.3125114440918
2009,11,35.6875114440918
2009,12,32.2708396911621
2010,7,40.4791793823242
2010,8,42.7708396911621
2010,9,42.3125114440918
2010,10,39.1875114440918
2010,11,37.3125114440918
2010,12,34.3125114440918
2011,1,31.8541698455811
2011,2,30.2708396911621
2011,3,31.5625095367432
2011,4,32.0208396911621
2011,5,34.65
2011,6,37.95
2011,7,42.425
2011,8,43.9791793823242
2011,9,41.1041793823242
2011,10,40.35
2011,11,38.525
2011,12,36.075
2012,1,33.15
2012,2,31.825
2012,3,32
2012,4,32.05
