year,month,nptz_lat
2015,8,43.5
2015,9,43
2015,10,39.95
2015,11,37.75
2015,12,34.625
2016,1,32
2016,2,30.3
2016,3,29.775
2016,4,30.775
2016,5,32
2016,6,36.3
2016,7,40.35
2016,8,42.425
2016,9,41.675
2016,10,39.85
2016,11,36.425
2016,12,34.925
2017,1,33.475
2017,2,31.55
2017,3,31.05
2017,4,31.55
2017,5,32.975
2017,6,36
2017,7,40.1
2017,8,42.5
2017,9,41.475
2017,10,39.575
2017,11,37.9
2017,12,34.725
2018,1,32.35
2018,2,31.225
2018,3,30.8
2018,4,31.825
2018,5,33.575
2018,6,36.1458396911621
2018,7,40.85
2018,8,42.65
2018,9,43.475
2018,10,40.35
2018,11,36.525
2018,12,33.775
2019,1,33.275
2019,2,32.15
2019,3,31.8
2019,4,32.05
2019,5,32.8958396911621
2019,6,35.4
2019,7,41.225
2019,8,42.6
2019,9,43.175
2019,10,40.25
2019,11,35.45
2019,12,32.975
2020,1,31.875
2020,2,31.45
2020,3,31.525
2020,4,31.425
2020,5,33.625
2020,6,36.65
2020,7,41.4
2020,8,43.3541717529297
2020,9,42.525
2020,10,38.925
2020,11,36.775
2020,12,34.175
2021,1,32.425
2021,2,31.55
2021,3,31.875
2021,4,32.725
2021,5,34.4
2021,6,37.75
2021,7,41.675
2021,8,42.275
2021,9,42.2
2021,10,41.2
2021,11,37.9
2021,12,35.425
2022,1,33.2
2022,2,32
2022,3,31.675
2022,4,33.6
2022,5,34.725
2022,6,37.5
2022,7,42.875
2022,8,44.375
2022,9,43.525
2022,10,40.625
2022,11,38.225
2022,12,34.975
