year,month,nptz_lat
2015,8,47.225
2015,9,45.675
2015,10,43.525
2015,11,38.85
2016,1,32.525
2016,2,31.975
2016,3,32.375
2016,4,32.575
2016,6,36.25
2016,7,35.05
2016,8,39.975
2016,9,45.3
2016,10,41.325
2016,11,36.15
2016,12,33.05
2017,1,31.825
2017,2,30.9
2017,3,31.5
2017,4,31.85
2017,5,33.375
2017,6,35.675
2017,7,39
2017,9,45
2017,10,41.8
2017,11,37.05
2017,12,33.75
2018,1,32.2
2018,2,32.125
2018,3,30.5
2018,4,31.1
2018,5,32.875
2018,7,38.425
2018,8,41.45
2018,9,43.525
2018,10,39.825
2018,11,37.725
2018,12,33.675
2019,1,31.275
2019,2,29.85
2019,3,29.775
2019,4,31
2019,6,35.675
2019,7,43.3
2019,8,46.8
2019,9,45.35
2019,10,41.425
2019,11,37.375
2019,12,32.725
2020,1,30.175
2020,2,29.775
2020,3,28.5
2020,4,29.425
2020,5,33.75
2020,6,36.5
2020,7,39.475
2020,9,46.725
2020,10,43.45
2020,11,40.275
2020,12,35.575
2021,1,32.875
2021,2,30.5
2021,3,29.725
2021,4,30.85
2021,5,32.3
2021,6,38.175
2021,7,40.425
2021,8,44.275
2021,9,44.525
2021,10,40.3
2021,11,35.75
2021,12,33.45
2022,1,31.55
2022,2,30.725
2022,3,30.2
2022,4,31.175
2022,5,32.6
2022,6,37.325
2022,7,39.925
2022,8,44.375
2022,9,44.9
2022,10,42.55
2022,11,37.875
2022,12,34.25
