year,month,perc,ref,sst
1999,10,25,mellinger,pathfinder
1999,11,34,mellinger,pathfinder
1999,12,20,mellinger,pathfinder
2000,1,16,mellinger,pathfinder
2000,2,24,mellinger,pathfinder
2000,3,16,mellinger,pathfinder
2000,4,37,mellinger,pathfinder
2000,5,29,mellinger,pathfinder
2000,6,46,mellinger,pathfinder
2000,7,51,mellinger,pathfinder
2000,8,49,mellinger,pathfinder
2000,9,46,mellinger,pathfinder
2000,10,42,mellinger,pathfinder
2000,11,47,mellinger,pathfinder
2000,12,29,mellinger,pathfinder
2001,1,26,mellinger,pathfinder
2001,2,46,mellinger,pathfinder
2001,3,32,mellinger,pathfinder
2001,4,27,mellinger,pathfinder
2001,5,51,mellinger,pathfinder
2007,6,88,diogou,modis
2007,7,100,diogou,modis
2007,8,78,diogou,modis
2007,9,90,diogou,modis
2007,10,84,diogou,modis
2007,11,87,diogou,modis
2007,12,74,diogou,modis
2008,1,65,diogou,pathfinder
2008,2,55,diogou,modis
2008,3,58,diogou,modis
2008,4,63,diogou,modis
2008,5,81,diogou,pathfinder
2008,6,83,diogou,pathfinder
2008,7,100,diogou,pathfinder
2008,8,74,diogou,pathfinder
2008,9,83,diogou,pathfinder
2008,10,84,diogou,pathfinder
2008,11,33,diogou,pathfinder
2008,12,42,diogou,pathfinder
2009,1,36,diogou,pathfinder
2009,2,50,diogou,pathfinder
2009,3,42,diogou,pathfinder
2009,4,60,diogou,pathfinder
2009,5,71,diogou,pathfinder
2009,6,83,diogou,pathfinder
2009,7,97,diogou,pathfinder
2009,8,94,diogou,pathfinder
2009,9,73,diogou,pathfinder
2009,10,84,diogou,pathfinder
2009,11,50,diogou,pathfinder
2009,12,68,diogou,pathfinder
2010,7,78,diogou,pathfinder
2010,8,94,diogou,pathfinder
2010,9,67,diogou,pathfinder
2010,10,61,diogou,pathfinder
2010,11,53,diogou,pathfinder
2010,12,36,diogou,pathfinder
2011,1,78,diogou,pathfinder
2011,2,38,diogou,pathfinder
2011,3,52,diogou,pathfinder
2011,4,37,diogou,pathfinder
2011,5,49,diogou,modis
2011,6,73,diogou,modis
2011,7,65,diogou,modis
2011,8,74,diogou,pathfinder
2011,9,57,diogou,pathfinder
2011,10,52,diogou,modis
2011,11,37,diogou,modis
2011,12,39,diogou,modis
2012,1,10,diogou,modis
2012,2,38,diogou,modis
2012,3,39,diogou,modis
2012,4,33,diogou,modis
