V1,V2,V3
-124.5,37.5,-4052.306640625
-124.483263598326,37.5,-4036.5966796875
-124.466527196653,37.5,-4026.97680664062
-124.449790794979,37.5,-4008.49682617188
-124.433054393305,37.5,-3986.5166015625
-124.416317991632,37.5,-3963.16674804688
-124.399581589958,37.5,-3934.93872070312
-124.382845188285,37.5,-3908.888671875
-124.366108786611,37.5,-3835.68872070312
-124.349372384937,37.5,-3762.11865234375
-124.332635983264,37.5,-3719.5185546875
-124.31589958159,37.5,-3675.31860351562
-124.299163179916,37.5,-3682.61865234375
-124.282426778243,37.5,-3697.25854492188
-124.265690376569,37.5,-3696.0009765625
-124.248953974895,37.5,-3694.85107421875
-124.232217573222,37.5,-3642.7109375
-124.215481171548,37.5,-3649.22094726562
-124.198744769874,37.5,-3629.11108398438
-124.182008368201,37.5,-3609.09106445312
-124.165271966527,37.5,-3591.85107421875
-124.148535564854,37.5,-3581.0009765625
-124.13179916318,37.5,-3591.14770507812
-124.115062761506,37.5,-3591.01782226562
-124.098326359833,37.5,-3575.677734375
-124.081589958159,37.5,-3579.9677734375
-124.064853556485,37.5,-3589.47778320312
-124.048117154812,37.5,-3568.51782226562
-124.031380753138,37.5,-3584.43774414062
-124.014644351464,37.5,-3603.59765625
-123.997907949791,37.5,-3618.30639648438
-123.981171548117,37.5,-3633.49633789062
-123.964435146444,37.5,-3643.37646484375
-123.94769874477,37.5,-3664.79638671875
-123.930962343096,37.5,-3687.51635742188
-123.914225941423,37.5,-3684.81640625
-123.897489539749,37.5,-3666.646484375
-123.880753138075,37.5,-3650.96630859375
-123.864016736402,37.5,-3641.89135742188
-123.847280334728,37.5,-3622.45141601562
-123.830543933054,37.5,-3591.111328125
-123.813807531381,37.5,-3559.08129882812
-123.797071129707,37.5,-3525.06127929688
-123.780334728033,37.5,-3500.06127929688
-123.76359832636,37.5,-3472.08129882812
-123.746861924686,37.5,-3450.72143554688
-123.730125523013,37.5,-3432.28125
-123.713389121339,37.5,-3407.68115234375
-123.696652719665,37.5,-3379.0712890625
-123.679916317992,37.5,-3347.72119140625
-123.663179916318,37.5,-3322.62133789062
-123.646443514644,37.5,-3294.28125
-123.629707112971,37.5,-3257.85131835938
-123.612970711297,37.5,-3157.50122070312
-123.596234309623,37.5,-3018.2197265625
-123.57949790795,37.5,-2895.77954101562
-123.562761506276,37.5,-2818.07958984375
-123.546025104603,37.5,-2717.599609375
-123.529288702929,37.5,-2590.62963867188
-123.512552301255,37.5,-2446.349609375
-123.495815899582,37.5,-2277.31958007812
-123.479079497908,37.5,-2069.94970703125
-123.462343096234,37.5,-2043.31530761719
-123.445606694561,37.5,-2204.53540039062
-123.428870292887,37.5,-2170.6953125
-123.412133891213,37.5,-2257.2353515625
