V1,V2,V3
-125,37.5,-4202.9873046875
-124.966463414634,37.5,-4194.2470703125
-124.932926829268,37.5,-4181.34716796875
-124.899390243902,37.5,-4181.63720703125
-124.865853658537,37.5,-4169.76708984375
-124.832317073171,37.5,-4163.77734375
-124.798780487805,37.5,-4129.4375
-124.765243902439,37.5,-4091.67749023438
-124.731707317073,37.5,-4095.36743164062
-124.698170731707,37.5,-4091.20751953125
-124.664634146341,37.5,-4087.42749023438
-124.631097560976,37.5,-4085.71752929688
-124.59756097561,37.5,-4075.1474609375
-124.564024390244,37.5,-4059.607421875
-124.530487804878,37.5,-4055.50659179688
-124.496951219512,37.5,-4053.146484375
-124.463414634146,37.5,-4025.17651367188
-124.42987804878,37.5,-3987.85668945312
-124.396341463415,37.5,-3944.57666015625
-124.362804878049,37.5,-3833.61669921875
-124.329268292683,37.5,-3739.4765625
-124.295731707317,37.5,-3742.66650390625
-124.262195121951,37.5,-3735.14282226562
-124.228658536585,37.5,-3669.98266601562
-124.19512195122,37.5,-3642.66259765625
-124.161585365854,37.5,-3610.36279296875
-124.128048780488,37.5,-3611.45263671875
-124.094512195122,37.5,-3592.5126953125
-124.060975609756,37.5,-3592.00268554688
-124.02743902439,37.5,-3612.61279296875
-123.993902439024,37.5,-3652.486328125
-123.960365853659,37.5,-3682.70654296875
-123.926829268293,37.5,-3690.8564453125
-123.893292682927,37.5,-3651.04638671875
-123.859756097561,37.5,-3609.28637695312
-123.826219512195,37.5,-3554.896484375
-123.792682926829,37.5,-3494.19653320312
-123.759146341463,37.5,-3452.79638671875
-123.725609756098,37.5,-3408.64868164062
-123.692073170732,37.5,-3357.54858398438
-123.658536585366,37.5,-3297.0185546875
-123.625,37.5,-3192.49853515625
-123.591463414634,37.5,-2941.52856445312
-123.557926829268,37.5,-2705.57861328125
-123.524390243902,37.5,-2429.58862304688
-123.490853658537,37.5,-2047.15856933594
-123.457317073171,37.5,-1994.60925292969
-123.423780487805,37.5,-2169.0693359375
-123.390243902439,37.5,-2133.71923828125
-123.356707317073,37.5,-1879.51916503906
-123.323170731707,37.5,-1715.57922363281
-123.289634146341,37.5,-1551.27917480469
-123.256097560976,37.5,-1404.59924316406
-123.22256097561,37.5,-1258.31921386719
-123.189024390244,37.5,-1098.87036132812
-123.155487804878,37.5,-948.220336914062
-123.121951219512,37.5,-824.550354003906
-123.088414634146,37.5,-738.000366210938
-123.05487804878,37.5,-574.450317382812
-123.021341463415,37.5,-440.420349121094
-122.987804878049,37.5,-300.670349121094
-122.954268292683,37.5,-187.870346069336
-122.920731707317,37.5,-128.035125732422
-122.887195121951,37.5,-108.975128173828
-122.853658536585,37.5,-96.7651290893555
-122.82012195122,37.5,-89.7751235961914
-122.786585365854,37.5,-84.9851226806641
-122.753048780488,37.5,-81.1851272583008
-122.719512195122,37.5,-75.3051223754883
-122.685975609756,37.5,-70.1251220703125
-122.65243902439,37.5,-65.3524322509766
-122.618902439024,37.5,-60.2724304199219
-122.585365853659,37.5,-55.3224334716797
-122.551829268293,37.5,-47.6024322509766
-122.518292682927,37.5,-32.0624313354492
-122.484756097561,37.5,-13.2724323272705
-122.451219512195,37.5,19.3875675201416
-122.417682926829,37.5,111.867568969727
-122.384146341463,37.5,199.230819702148
-122.350609756098,37.5,261.020812988281
-122.317073170732,37.5,144.470809936523
-122.283536585366,37.5,148.240814208984
-122.25,37.5,24.2508125305176
-122.216463414634,37.5,5.55081367492676
-122.182926829268,37.5,5.60081338882446
-122.149390243902,37.5,3.08081340789795
-122.115853658537,37.5,-0.296664088964462
-122.082317073171,37.5,-1.00666403770447
-122.048780487805,37.5,1.60333585739136
-122.015243902439,37.5,1.98333585262299
-121.981707317073,37.5,3.74333596229553
-121.948170731707,37.5,4.25333595275879
-121.914634146341,37.5,58.9033355712891
-121.881097560976,37.5,401.343322753906
-121.84756097561,37.5,548.44384765625
-121.814024390244,37.5,300.073822021484
-121.780487804878,37.5,495.833831787109
-121.746951219512,37.5,628.423828125
-121.713414634146,37.5,724.703796386719
-121.67987804878,37.5,1000.41381835938
-121.646341463415,37.5,919.313842773438
-121.612804878049,37.5,642.733825683594
-121.579268292683,37.5,825.628479003906
-121.545731707317,37.5,1028.29846191406
-121.512195121951,37.5,850.228454589844
-121.478658536585,37.5,921.008483886719
-121.44512195122,37.5,802.098449707031
-121.411585365854,37.5,771.518493652344
-121.378048780488,37.5,696.528442382812
-121.344512195122,37.5,668.41845703125
