ICI,pd_mean,pd_min,pd_max
0.425,0.023699486,0.022543863,0.024694
0.45,0.041391169,0.038751478,0.043671007
0.475,0.055407254,0.051515932,0.05880691
0.5,0.060517994,0.059335555,0.062261619
0.525,0.06751829,0.065268294,0.070521343
0.55,0.055381049,0.051997909,0.05871966
0.575,0.045172807,0.042740767,0.048104587
0.6,0.035618548,0.034390281,0.038129426
0.625,0.019417915,0.018569388,0.02036241
0.65,0.019896957,0.019010774,0.020498512
0.675,0.029791651,0.029036239,0.030734536
0.7,0.032827963,0.031890097,0.033539155
0.725,0.037147905,0.035506843,0.038068845
0.75,0.035774103,0.03367458,0.037014953
0.775,0.035178708,0.032818693,0.036335642
0.8,0.035739603,0.033082522,0.037176953
0.825,0.03005701,0.027475632,0.031859326
0.85,0.025489088,0.023863041,0.02660333
0.875,0.016882349,0.015788205,0.01758668
0.9,0.016785412,0.015829449,0.017385127
0.925,0.024437008,0.023464407,0.02507216
0.95,0.025676877,0.024575909,0.026465588
0.975,0.027122678,0.026175111,0.027778573
1,0.026276042,0.02507306,0.027601327
1.025,0.02175692,0.021324543,0.022321614
1.05,0.019222109,0.018598926,0.019959615
1.075,0.014546067,0.014135023,0.015029956
1.1,0.011083337,0.010830958,0.011436062
1.125,0.007511337,0.007310888,0.00779231
1.15,0.004356903,0.004170394,0.004460733
1.175,0.006238294,0.005972722,0.006436025
1.2,0.006873372,0.006507878,0.007118481
1.225,0.007181591,0.00670665,0.007511149
1.25,0.007228014,0.006840439,0.007474337
1.275,0.006206751,0.005819821,0.006596286
1.3,0.005479384,0.005087804,0.005879121
1.325,0.004725126,0.004342408,0.005115599
1.35,0.003681839,0.003388684,0.00399213
1.375,0.00264068,0.002425403,0.002849294
1.4,0.002390196,0.002154003,0.002675407
1.425,0.003134307,0.002771343,0.003572162
1.45,0.003651854,0.003338991,0.003977133
1.475,0.00372686,0.003432643,0.004049394
1.5,0.003938507,0.003699841,0.004173149
1.525,0.003544517,0.003300765,0.003840918
1.55,0.003206642,0.002935712,0.003534347
1.575,0.002910805,0.002773084,0.003081357
1.6,0.002164913,0.001936118,0.002447361
1.625,0.001557123,0.001406696,0.001682476
1.65,0.001171397,0.00106514,0.001270719
1.675,0.00137336,0.00120239,0.001533862
1.7,0.001670847,0.001453693,0.001869266
1.725,0.001597518,0.001403376,0.001804177
1.75,0.0015179,0.001337707,0.001673674
1.775,0.001457415,0.001310644,0.001582945
1.8,0.001220113,0.00109027,0.001337527
1.825,0.001094475,0.000956886,0.001236101
1.85,0.000692847,0.000608927,0.000788218
1.875,0.000554853,0.000492941,0.000623496
1.9,0.000327493,0.000279034,0.000348504
1.925,0.000456275,0.000391878,0.000504918
1.95,0.001246814,0.001122061,0.001375236
1.975,0.001096547,0.000988867,0.001227741
2,0.00065727,0.000592947,0.000692824
2.025,0.00052302,0.000412396,0.0006334
2.05,0.000380804,0.000307758,0.000426754
2.075,0.000342964,0.000264672,0.000370854
2.1,0.000292808,0.000186706,0.000337633
2.125,0.000159968,0.000116948,0.000180283
