"","date","yn","day","night","dd","rate","d_rate","n_rate","dd_rate","month","year"
"1",2015-08-01,1,1,1,1,17.0416666666667,1.80162145931338,19.9823227859289,100.147058823529,8,2015
"2",2015-08-02,0,0,0,0,0,0,0,0,8,2015
"3",2015-08-03,1,1,0,0,0.2506091193874,0.43601130399677,0,0,8,2015
"4",2015-08-04,0,0,0,0,0,0,0,0,8,2015
"5",2015-08-05,0,0,0,0,0,0,0,0,8,2015
"6",2015-08-06,1,1,0,0,17.0959669440726,30.012259910094,0,0,8,2015
"7",2015-08-07,1,1,1,1,114.023410603626,94.2352941176471,158.528428093645,165.6,8,2015
"8",2015-08-08,0,0,0,0,0,0,0,0,8,2015
"9",2015-08-09,0,0,0,0,0,0,0,0,8,2015
"10",2015-08-10,1,1,0,0,0.791666666666667,1.39663093415008,0,0,8,2015
"11",2015-08-11,0,0,0,0,0,0,0,0,8,2015
"12",2015-08-12,0,0,0,0,0,0,0,0,8,2015
"13",2015-08-13,0,0,0,0,0,0,0,0,8,2015
"14",2015-08-14,0,0,0,0,0,0,0,0,8,2015
"15",2015-08-15,0,0,0,0,0,0,0,0,8,2015
"16",2015-08-17,1,1,0,0,1.63357912648894,1.63357912648894,0,0,8,2015
"17",2015-08-18,0,0,0,0,0,0,0,0,8,2015
"18",2015-08-19,0,0,0,0,0,0,0,0,8,2015
"19",2015-08-20,1,1,0,0,0.583637311099531,1.05593966059082,0,0,8,2015
"20",2015-08-21,0,0,0,0,0,0,0,0,8,2015
"21",2015-08-22,1,1,1,0,12.0833333333333,0.908995265649658,32.0409796702417,0,8,2015
"22",2015-08-23,1,1,1,0,15.375,20.8101265822785,10.8986615678776,0,8,2015
"23",2015-08-24,0,0,0,0,0,0,0,0,8,2015
"24",2015-08-25,0,0,0,0,0,0,0,0,8,2015
"25",2015-08-26,0,0,0,0,0,0,0,0,8,2015
"26",2015-08-27,1,1,1,1,3.45833333333333,3.99317406143345,2.70211102423769,3.33996023856859,8,2015
"27",2015-08-28,0,0,0,0,0,0,0,0,8,2015
"28",2015-08-29,0,0,0,0,0,0,0,0,8,2015
"29",2015-08-30,0,0,0,0,0,0,0,0,8,2015
"30",2015-08-31,0,0,0,0,0,0,0,0,8,2015
"31",2015-09-01,1,1,0,0,1.19360568383659,2.27667984189723,0,0,9,2015
"32",2015-09-02,0,0,0,0,0,0,0,0,9,2015
"33",2015-09-03,0,0,0,0,0,0,0,0,9,2015
"34",2015-09-04,0,0,0,0,0,0,0,0,9,2015
"35",2015-09-05,0,0,0,0,0,0,0,0,9,2015
"36",2015-09-06,0,0,0,0,0,0,0,0,9,2015
"37",2015-09-07,0,0,0,0,0,0,0,0,9,2015
"38",2015-09-08,0,0,0,0,0,0,0,0,9,2015
"39",2015-09-09,0,0,0,0,0,0,0,0,9,2015
"40",2015-09-10,0,0,0,0,0,0,0,0,9,2015
"41",2015-09-11,0,0,0,0,0,0,0,0,9,2015
"42",2015-09-12,0,0,0,0,0,0,0,0,9,2015
"43",2015-09-13,0,0,0,0,0,0,0,0,9,2015
"44",2015-09-14,0,0,0,0,0,0,0,0,9,2015
"45",2015-09-15,0,0,0,0,0,0,0,0,9,2015
"46",2015-09-16,0,0,0,0,0,0,0,0,9,2015
"47",2015-09-17,0,0,0,0,0,0,0,0,9,2015
"48",2015-09-18,0,0,0,0,0,0,0,0,9,2015
"49",2015-09-19,0,0,0,0,0,0,0,0,9,2015
"50",2015-09-20,0,0,0,0,0,0,0,0,9,2015
"51",2015-09-21,0,0,0,0,0,0,0,0,9,2015
"52",2015-09-22,0,0,0,0,0,0,0,0,9,2015
"53",2015-09-23,0,0,0,0,0,0,0,0,9,2015
"54",2015-09-24,1,1,0,0,0.37519541427827,0.752176436448056,0,0,9,2015
"55",2015-09-25,1,0,1,0,2.58333333333333,0,6.15554329840044,0,9,2015
"56",2015-09-26,0,0,0,0,0,0,0,0,9,2015
"57",2015-09-27,1,0,1,0,5.91666666666667,0,13.9882336844986,0,9,2015
"58",2015-09-28,1,1,0,0,43.790546802595,88.9830508474576,0,0,9,2015
"59",2015-09-29,1,1,1,1,22.25,2.63362831858407,39.6796525044116,48.567454798331,9,2015
"60",2015-09-30,0,0,0,0,0,0,0,0,9,2015
"61",2015-10-01,1,1,1,0,63.3333333333333,129.478560399097,0.581974942745521,0,10,2015
"62",2015-10-02,1,1,0,0,22.2654621264767,45.8751938909438,0,0,10,2015
"63",2015-10-03,1,1,1,0,31.0614395738028,5.68761220825853,65.3932584269663,0,10,2015
"64",2015-10-04,1,1,1,0,66.5416666666667,133.963531669866,4.41247002398082,0,10,2015
"65",2015-10-05,1,1,0,1,5.15015107603133,9.73913043478261,0,9.00625434329395,10,2015
"66",2015-10-06,1,1,1,1,4,1.56521739130435,6.1888389314996,6.50904033379694,10,2015
