"yr","month","perc"
1,1,74.1935483870968
1,2,46.4285714285714
1,3,48.3870967741936
1,4,46.6666666666667
1,5,32.258064516129
1,6,20
1,7,32.258064516129
1,8,19.3548387096774
1,9,36.6666666666667
1,10,48.3870967741936
1,11,40
1,12,45.1612903225806
2,1,19.3548387096774
2,2,39.2857142857143
2,3,32.258064516129
2,4,20
2,5,29.0322580645161
2,6,26.6666666666667
2,7,29.0322580645161
2,8,74.1935483870968
2,9,53.3333333333333
2,10,48.3870967741936
2,11,76.6666666666667
2,12,38.7096774193548
3,1,35.4838709677419
3,2,57.1428571428571
3,3,35.4838709677419
3,4,40
3,5,12.9032258064516
3,6,26.6666666666667
3,7,41.9354838709677
3,8,9.67741935483871
3,9,43.3333333333333
3,10,45.1612903225806
3,11,46.6666666666667
3,12,61.2903225806452
4,1,51.6129032258064
4,2,21.4285714285714
4,3,35.4838709677419
4,4,36.6666666666667
4,5,45.1612903225806
4,6,53.3333333333333
4,7,35.4838709677419
4,8,54.8387096774194
4,9,36.6666666666667
4,10,22.5806451612903
4,11,43.3333333333333
4,12,48.3870967741936
5,1,74.1935483870968
5,2,25
5,3,48.3870967741936
5,4,36.6666666666667
5,5,38.7096774193548
5,6,46.6666666666667
5,7,12.9032258064516
5,8,45.1612903225806
5,9,43.3333333333333
5,10,29.0322580645161
5,11,60
5,12,19.3548387096774
6,1,45.1612903225806
6,2,60.7142857142857
6,3,70.9677419354839
6,4,46.6666666666667
6,5,19.3548387096774
6,6,10
6,7,3.2258064516129
6,8,19.3548387096774
6,9,53.3333333333333
6,10,64.5161290322581
6,11,53.3333333333333
6,12,61.2903225806452
7,1,12.9032258064516
7,2,39.2857142857143
7,3,41.9354838709677
7,4,46.6666666666667
7,5,45.1612903225806
7,6,46.6666666666667
7,7,80.6451612903226
7,8,38.7096774193548
7,9,26.6666666666667
7,10,38.7096774193548
7,11,40
7,12,54.8387096774194
8,1,35.4838709677419
8,2,50
8,3,29.0322580645161
8,4,46.6666666666667
8,5,64.5161290322581
8,6,66.6666666666667
8,7,29.0322580645161
8,8,58.0645161290323
8,9,50
8,10,32.258064516129
8,11,43.3333333333333
8,12,54.8387096774194
9,1,67.741935483871
9,2,25
9,3,29.0322580645161
9,4,63.3333333333333
9,5,45.1612903225806
9,6,63.3333333333333
9,7,61.2903225806452
9,8,38.7096774193548
9,9,40
9,10,54.8387096774194
9,11,46.6666666666667
9,12,54.8387096774194
10,1,35.4838709677419
10,2,39.2857142857143
10,3,6.45161290322581
10,4,56.6666666666667
10,5,35.4838709677419
10,6,40
10,7,48.3870967741936
10,8,16.1290322580645
10,9,66.6666666666667
10,10,35.4838709677419
10,11,26.6666666666667
10,12,51.6129032258064
