"yr","month","perc"
1,1,80.6451612903226
1,2,100
1,3,90.3225806451613
1,4,83.3333333333333
1,5,45.1612903225806
1,6,43.3333333333333
1,7,9.67741935483871
1,8,16.1290322580645
1,9,43.3333333333333
1,10,12.9032258064516
1,11,73.3333333333333
1,12,70.9677419354839
2,1,80.6451612903226
2,2,89.2857142857143
2,3,70.9677419354839
2,4,96.6666666666667
2,5,64.5161290322581
2,6,46.6666666666667
2,7,41.9354838709677
2,8,41.9354838709677
2,9,66.6666666666667
2,10,16.1290322580645
2,11,33.3333333333333
2,12,64.5161290322581
3,1,51.6129032258064
3,2,78.5714285714286
3,3,48.3870967741936
3,4,56.6666666666667
3,5,41.9354838709677
3,6,73.3333333333333
3,7,16.1290322580645
3,8,38.7096774193548
3,9,96.6666666666667
3,10,54.8387096774194
3,11,80
3,12,48.3870967741936
4,1,32.258064516129
4,2,64.2857142857143
4,3,90.3225806451613
4,4,60
4,5,48.3870967741936
4,6,50
4,7,83.8709677419355
4,8,41.9354838709677
4,9,60
4,10,67.741935483871
4,11,46.6666666666667
4,12,48.3870967741936
5,1,54.8387096774194
5,2,50
5,3,77.4193548387097
5,4,66.6666666666667
5,5,80.6451612903226
5,6,63.3333333333333
5,7,29.0322580645161
5,8,48.3870967741936
5,9,80
5,10,48.3870967741936
5,11,36.6666666666667
5,12,74.1935483870968
6,1,32.258064516129
6,2,64.2857142857143
6,3,35.4838709677419
6,4,63.3333333333333
6,5,54.8387096774194
6,6,10
6,7,22.5806451612903
6,8,45.1612903225806
6,9,50
6,10,87.0967741935484
6,11,73.3333333333333
6,12,74.1935483870968
7,1,87.0967741935484
7,2,71.4285714285714
7,3,45.1612903225806
7,4,80
7,5,48.3870967741936
7,6,63.3333333333333
7,7,64.5161290322581
7,8,61.2903225806452
7,9,36.6666666666667
7,10,64.5161290322581
7,11,40
7,12,83.8709677419355
8,1,70.9677419354839
8,2,50
8,3,77.4193548387097
8,4,73.3333333333333
8,5,45.1612903225806
8,6,66.6666666666667
8,7,100
8,8,67.741935483871
8,9,66.6666666666667
8,10,64.5161290322581
8,11,93.3333333333333
8,12,61.2903225806452
9,1,35.4838709677419
9,2,71.4285714285714
9,3,80.6451612903226
9,4,86.6666666666667
9,5,80.6451612903226
9,6,70
9,7,100
9,8,96.7741935483871
9,9,56.6666666666667
9,10,51.6129032258064
9,11,6.66666666666667
9,12,77.4193548387097
10,1,87.0967741935484
10,2,67.8571428571429
10,3,83.8709677419355
10,4,86.6666666666667
10,5,41.9354838709677
10,6,6.66666666666667
10,7,77.4193548387097
10,8,64.5161290322581
10,9,23.3333333333333
10,10,0
10,11,16.6666666666667
10,12,70.9677419354839
