"yr","month","perc"
1,1,45.1612903225806
1,2,82.1428571428571
1,3,87.0967741935484
1,4,100
1,5,6.45161290322581
1,6,76.6666666666667
1,7,41.9354838709677
1,8,48.3870967741936
1,9,46.6666666666667
1,10,48.3870967741936
1,11,76.6666666666667
1,12,61.2903225806452
2,1,58.0645161290323
2,2,85.7142857142857
2,3,64.5161290322581
2,4,70
2,5,74.1935483870968
2,6,63.3333333333333
2,7,96.7741935483871
2,8,51.6129032258064
2,9,50
2,10,32.258064516129
2,11,30
2,12,32.258064516129
3,1,0
3,2,46.4285714285714
3,3,22.5806451612903
3,4,30
3,5,0
3,6,0
3,7,0
3,8,61.2903225806452
3,9,23.3333333333333
3,10,58.0645161290323
3,11,0
3,12,61.2903225806452
4,1,25.8064516129032
4,2,57.1428571428571
4,3,6.45161290322581
4,4,70
4,5,90.3225806451613
4,6,36.6666666666667
4,7,74.1935483870968
4,8,35.4838709677419
4,9,0
4,10,74.1935483870968
4,11,73.3333333333333
4,12,16.1290322580645
5,1,19.3548387096774
5,2,82.1428571428571
5,3,64.5161290322581
5,4,86.6666666666667
5,5,19.3548387096774
5,6,46.6666666666667
5,7,38.7096774193548
5,8,90.3225806451613
5,9,90
5,10,96.7741935483871
5,11,36.6666666666667
5,12,6.45161290322581
6,1,51.6129032258064
6,2,92.8571428571429
6,3,96.7741935483871
6,4,93.3333333333333
6,5,77.4193548387097
6,6,36.6666666666667
6,7,77.4193548387097
6,8,19.3548387096774
6,9,16.6666666666667
6,10,54.8387096774194
6,11,40
6,12,51.6129032258064
7,1,16.1290322580645
7,2,67.8571428571429
7,3,25.8064516129032
7,4,46.6666666666667
7,5,74.1935483870968
7,6,96.6666666666667
7,7,70.9677419354839
7,8,87.0967741935484
7,9,46.6666666666667
7,10,77.4193548387097
7,11,23.3333333333333
7,12,3.2258064516129
8,1,22.5806451612903
8,2,60.7142857142857
8,3,32.258064516129
8,4,43.3333333333333
8,5,48.3870967741936
8,6,80
8,7,93.5483870967742
8,8,83.8709677419355
8,9,10
8,10,0
8,11,50
8,12,32.258064516129
9,1,19.3548387096774
9,2,67.8571428571429
9,3,51.6129032258064
9,4,53.3333333333333
9,5,29.0322580645161
9,6,63.3333333333333
9,7,25.8064516129032
9,8,32.258064516129
9,9,73.3333333333333
9,10,41.9354838709677
9,11,0
9,12,16.1290322580645
10,1,51.6129032258064
10,2,64.2857142857143
10,3,12.9032258064516
10,4,40
10,5,61.2903225806452
10,6,20
10,7,3.2258064516129
10,8,19.3548387096774
10,9,73.3333333333333
10,10,64.5161290322581
10,11,0
10,12,12.9032258064516
